,pvalue_QTE_twoSides,pvalue_QDE_twoSides,pvalue_QIE_twoSides,pvalue_normal_QDE_twoSides,pvalue_QTE_RightSide,pvalue_QDE_RightSide,pvalue_QIE_RightSide,pvalue_normal_QDE_RightSide,QDE,QIE,coe_beta0_mse,coe_gamma_y_mse,coe_beta11_mse,coe_beta12_mse,coe_phi01_mse,coe_Gamma_s1_mse,coe_phi11_mse,coe_phi12_mse,coe_phi02_mse,coe_Gamma_s2_mse,coe_phi21_mse,coe_phi22_mse,mean_stat_QIE_b,sd_stat_QIE_b,run_time,QDE_mse,QIE_mse,QTE_indicator_twoSides,QDE_indicator_twoSides,QIE_indicator_twoSides,QDE_norm_indicator_twoSides,QTE_indicator_RightSide,QDE_indicator_RightSide,QIE_indicator_RightSide,QDE_norm_indicator_RightSide
Run30,0.6,1.0,0.6,0.9127210725261927,0.4,0.6,0.4,0.45636053626309636,0.03232886801460283,2.21826168372422,0.009606651327202282,0.01607426910313754,0.003687349877264925,0.005472365005689782,0.009189250807451053,0.01046899065224932,0.012910168172886366,0.004289499985191408,0.007288539700820696,0.014189403216976612,0.006123128361505557,0.013332603877288062,1.7628274444252514,3.3849342618341787,0.02491683562596639,0.0010451557071056098,4.920684897479012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run31,0.8,0.0,0.8,0.006710587671848511,0.9,0.0,0.9,0.0033552938359242557,0.4879315151042185,-1.4114901814782608,0.0046271593008253625,0.008831453463057122,0.0027417559902890467,0.0026963813766421527,0.0027706037099527506,0.010127505944184113,0.0029911367577197764,0.0030790072177814018,0.014019198742152197,0.012811644592891358,0.005985192596354422,0.018080938061539254,3.7628663315062085,5.479286381045172,0.024924234549204508,0.23807716343189822,1.9923045324095336,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Run32,0.1,0.4,0.1,0.24792018015792872,1.0,0.8,1.0,0.8760399099210356,-0.1200816517752832,-7.352227272850502,0.002654675240940943,0.004718943020250579,0.002056644225132312,0.005303772734487819,0.02169773342447377,0.010940943283128371,0.013346482014186164,0.0019861821017774063,0.010298691771378116,0.01693367609381109,0.014761619807173401,0.019077818229958222,1.556744192263227,3.9948673861565553,0.024891960620880126,0.014419603093080375,54.05524587164673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run33,0.9,0.2,0.8,0.26327278469742965,0.7,0.1,0.8,0.13163639234871483,0.1701791449694271,-3.2991064797599976,0.004909804409563301,0.014448964650419763,0.007942359707950208,0.0020328247971157115,0.004851075418946277,0.0034534722453773113,0.00742644231733291,0.002156485587856778,0.01607172555141671,0.02544546778617356,0.012745399537899913,0.009695436658674656,1.1275154571538013,5.855456507224287,0.026074894269307456,0.028960941382525286,10.884103564794403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run34,0.4,0.2,0.4,0.17684806376905549,1.0,0.2,1.0,0.08842403188452774,0.2557940230415096,-4.269085845583648,0.002712476156719095,0.004856141189745324,0.008707135363621108,0.0015782307194608148,0.007996523676167653,0.008068995512179575,0.015854369705031762,0.004017704954714529,0.01254651184687963,0.02257563272919511,0.018028527655980328,0.01957490592249391,2.0899540761487376,3.043747597545224,0.024812865257263183,0.06543058222376034,18.225093956962652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run35,0.3,0.4,0.3,0.23343366658388964,1.0,0.1,1.0,0.11671683329194482,0.23909507973395933,-5.7462144182412285,0.004689806465766252,0.006626266684693255,0.0024923132849236276,0.0019812680185606136,0.012183758901147854,0.023527115436789193,0.01562967149130154,0.0037816855762573447,0.014063706223356221,0.014224191125184965,0.01087883847027568,0.019771024850534443,2.9444005175832,5.339689476867294,0.02471285661061605,0.05716645715298837,33.01898014040338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run36,0.0,0.0,0.0,0.010723832912064024,0.0,0.0,0.0,0.005361916456032012,0.48022135996463977,14.94027304679977,0.009968939842044793,0.02257127265337397,0.0030745887689454013,0.0027008508660099524,0.009827409192074896,0.014462404138687582,0.02610335281683476,0.0017509933397370312,0.013173361466039157,0.057315033696706486,0.01983846944017038,0.008761094486694203,0.3921671144959257,5.906558748693025,0.024725401401519777,0.23061255456628812,223.2117587129317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Run37,0.2,0.1,0.2,0.05050977608638574,0.9,0.9,0.9,0.9747451119568071,-0.25166127085858553,-8.219847902180819,0.007143940110743743,0.011746028546371483,0.010056298366856347,0.002304629184637044,0.008849133499410227,0.0035177205997133643,0.009286897308893191,0.0033566064842349636,0.017340238616311898,0.018525129857885018,0.02464703714302098,0.02068945171996683,0.30742683370770907,6.078671144502306,0.024703415234883626,0.06333339525015835,67.5658995349864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run38,0.5,0.9,0.4,0.827185580746276,0.7,0.7,0.8,0.586407209626862,-0.06505219138331089,-1.5022598877946556,0.0052952817711453505,0.008103634423386949,0.003714468475824066,0.007748492936437597,0.006671815446859972,0.009417458282637107,0.003924078913966453,0.004651108041453678,0.01880096652681239,0.027843317738546817,0.012304026672526263,0.014091704936438697,0.6170087671261693,4.571130589466173,0.0247085968653361,0.004231787603770908,2.2567847704768114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run39,0.8,0.7,0.8,0.35842886655992534,0.7,0.4,0.7,0.8207855667200373,-0.12971642106764816,-1.7113370520997822,0.003633815283931732,0.010473504833131532,0.003165058888052298,0.005707334712171505,0.007332021278022423,0.02200731607082191,0.0027217932969269905,0.0055253829594628075,0.015847220402056165,0.019120453381614336,0.0048761974751255314,0.011026875404681237,1.7265877827838907,4.192302539411395,0.024993085861206056,0.016826349894599395,2.9286745058895725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run40,0.7,0.5,0.7,0.3215391753016825,0.1,0.7,0.1,0.8392304123491587,-0.2598759847689537,1.7506321875893494,0.004290247275255592,0.011934832224830718,0.003319262054779993,0.0024105506463708774,0.0029615515046648505,0.004799907412541958,0.01605015970744029,0.003882011458503949,0.01609065183267754,0.035542223316903564,0.013308218586006422,0.018406900875037532,-3.0389946058896147,4.702304855928223,0.025191195805867515,0.06753552745963344,3.0647130562238707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run41,0.1,0.5,0.1,0.27978924339918265,0.9,0.0,0.9,0.13989462169959133,0.23869105631657317,-7.066315408968703,0.004062224963962541,0.00495165643418618,0.0016488543534006128,0.0028687763432486287,0.0139742689627078,0.02073474913019203,0.0073523528422776005,0.003335480884702194,0.007954177526254396,0.019179932822112587,0.008863255437473438,0.026417936603474527,0.807752194823139,3.718851822317173,0.0254768172899882,0.056973420365521506,49.93281345902852,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Run42,0.6,0.5,0.6,0.5455823636479473,0.3,0.8,0.3,0.7272088181760263,-0.1158983158786023,3.603211122930847,0.00750075939433225,0.015214543244900132,0.003770308245795779,0.0027710724858472893,0.020020597345691848,0.021589780854559027,0.0046944993900259555,0.0028343697814258825,0.012619520134601459,0.010116048942272108,0.01337156231047581,0.0070832467381763105,-0.1802512519633956,4.45746214929895,0.02513343095779419,0.013432419623496278,12.983130396412577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run43,0.9,0.6,0.9,0.6586805247137442,0.4,0.2,0.4,0.3293402623568721,0.07503280345648486,-1.3156910655047716,0.005715513162067217,0.01032000214478657,0.0054017771673575445,0.0035516095993601018,0.007721129748081014,0.01030535950021299,0.01395182206615787,0.0035001782333699354,0.006041645844612809,0.008902104803845248,0.00806844563634729,0.012465131875613242,-1.5351163028500703,5.207680507819518,0.024694037437438966,0.005629921594539487,1.731042979849081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run44,0.6,0.3,0.5,0.25661880872913434,0.3,0.8,0.3,0.8716905956354328,-0.2596650500639618,5.681225996425189,0.007558051367049801,0.011137173058661494,0.0028107394405395194,0.0014750274685495772,0.01124378244037352,0.012176551428669587,0.010984385020813961,0.004881016190800854,0.008297948109037011,0.020261946356444925,0.010894885410335503,0.01669196140047975,0.9543090074722619,6.202699804134548,0.024675814310709636,0.06742593822471978,32.27632882245738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Run45,0.7,0.8,0.7,0.7160417123600542,0.2,0.2,0.2,0.3580208561800271,0.036287709003194904,2.424089484837361,0.005551963217274664,0.012130053435531862,0.003522722566340756,0.0032172101011460827,0.015595722591073726,0.01569785920246951,0.009078049063607475,0.005406302498638251,0.020173975860812463,0.02277996365265176,0.014234250241376178,0.016867569508185975,-1.837786690791863,3.380293102086164,0.025318467617034913,0.0013167978247005524,5.876209830499062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
